epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,33.9806,0.58948,2.45512,0.00197,0.796,0.60754,0.70828,0.41612,0.8283,1.81171,0.00537,0.000660494,0.000660494,0.000660494
2,68.2633,0.53654,0.88328,0.00183,0.74095,0.73355,0.80874,0.75075,0.43408,0.95739,0.00252,0.0013184,0.0013184,0.0013184
3,102.443,0.535,0.65458,0.00176,0.72769,0.69342,0.76761,0.70006,0.46481,1.12113,0.00253,0.00196751,0.00196751,0.00196751
4,136.17,0.57843,0.57923,0.00191,0.74049,0.72824,0.79749,0.69562,0.54183,0.9804,0.00293,0.0019604,0.0019604,0.0019604
5,170.449,0.62658,0.55688,0.00219,0.70469,0.6886,0.7315,0.63605,0.57791,1.09126,0.0032,0.0019472,0.0019472,0.0019472
6,205.243,0.59181,0.48967,0.00205,0.838,0.80539,0.89864,0.80497,0.49434,0.66654,0.00261,0.001934,0.001934,0.001934
7,240.318,0.65449,0.49764,0.00229,0.80604,0.80738,0.86956,0.76785,0.53254,0.79301,0.00302,0.0019208,0.0019208,0.0019208
8,274.471,0.59675,0.45075,0.00209,0.84013,0.84751,0.92573,0.80698,0.606,0.61034,0.00309,0.0019076,0.0019076,0.0019076
9,308.499,0.49333,0.40467,0.00159,0.89875,0.79936,0.92183,0.83218,0.49465,0.67601,0.00286,0.0018944,0.0018944,0.0018944
10,341.477,0.49524,0.37748,0.00167,0.86807,0.82825,0.89612,0.81584,0.46999,0.60943,0.0025,0.0018812,0.0018812,0.0018812
11,375.452,0.46508,0.36179,0.00153,0.82766,0.80169,0.87645,0.79459,0.49266,0.72364,0.00257,0.001868,0.001868,0.001868
12,409.495,0.44084,0.34323,0.00146,0.90182,0.82343,0.92397,0.83687,0.47359,0.59089,0.00251,0.0018548,0.0018548,0.0018548
13,443.202,0.38757,0.30886,0.00129,0.85282,0.86499,0.89591,0.81763,0.45438,0.63324,0.0024,0.0018416,0.0018416,0.0018416
14,477.043,0.43664,0.31706,0.00144,0.87709,0.84763,0.91724,0.82804,0.50473,0.58969,0.00292,0.0018284,0.0018284,0.0018284
15,512.123,0.44941,0.30584,0.00144,0.91598,0.80495,0.92545,0.82075,0.53802,0.59803,0.00285,0.0018152,0.0018152,0.0018152
16,547.002,0.42306,0.29381,0.00138,0.90868,0.79936,0.92183,0.82593,0.51785,0.6192,0.00298,0.001802,0.001802,0.001802
17,581.145,0.45426,0.3103,0.00153,0.87986,0.81541,0.91797,0.82107,0.51272,0.61825,0.00281,0.0017888,0.0017888,0.0017888
18,614.822,0.39668,0.27271,0.00131,0.9528,0.84243,0.95311,0.87669,0.45182,0.42729,0.00255,0.0017756,0.0017756,0.0017756
